Date,Day of Week,2020 Traveler Throughput,2019 Traveler Throughput
12/31/20,"Thursday, December 31, 2020",874406,2392331
12/30/20,"Wednesday, December 30, 2020",1163696,2133253
12/29/20,"Tuesday, December 29, 2020",1019347,2009880
12/28/20,"Monday, December 28, 2020",1111751,2500396
12/27/20,"Sunday, December 27, 2020",1284599,2575985
12/26/20,"Saturday, December 26, 2020",1128773,2470786
12/25/20,"Friday, December 25, 2020",616469,2582580
12/24/20,"Thursday, December 24, 2020",846520,2552194
12/23/20,"Wednesday, December 23, 2020",1191123,1937235
12/22/20,"Tuesday, December 22, 2020",992167,1981433
12/21/20,"Monday, December 21, 2020",954782,2490503
12/20/20,"Sunday, December 20, 2020",1064619,2519399
12/19/20,"Saturday, December 19, 2020",1073563,2487987
12/18/20,"Friday, December 18, 2020",1066747,2608088
12/17/20,"Thursday, December 17, 2020",846934,2471408
12/16/20,"Wednesday, December 16, 2020",641966,2234374
12/15/20,"Tuesday, December 15, 2020",552024,2009112
12/14/20,"Monday, December 14, 2020",752451,2250386
12/13/20,"Sunday, December 13, 2020",865014,2300248
12/12/20,"Saturday, December 12, 2020",662380,1893871
12/11/20,"Friday, December 11, 2020",787489,2388029
12/10/20,"Thursday, December 10, 2020",754307,2362310
12/9/20,"Wednesday, December 9, 2020",564372,2020488
12/8/20,"Tuesday, December 8, 2020",501513,1897051
12/7/20,"Monday, December 7, 2020",703546,2226290
12/6/20,"Sunday, December 6, 2020",837137,2292079
12/5/20,"Saturday, December 5, 2020",629430,1755801
12/4/20,"Friday, December 4, 2020",753951,2278205
12/3/20,"Thursday, December 3, 2020",738050,2262878
12/2/20,"Wednesday, December 2, 2020",632356,2054380
12/1/20,"Tuesday, December 1, 2020",780283,2280403
11/30/20,"Monday, November 30, 2020",981912,2591470
11/29/20,"Sunday, November 29, 2020",1176091,2882915
11/28/20,"Saturday, November 28, 2020",964630,2648268
11/27/20,"Friday, November 27, 2020",820399,1968137
11/26/20,"Thursday, November 26, 2020",560902,1591158
11/25/20,"Wednesday, November 25, 2020",1070967,2624250
11/24/20,"Tuesday, November 24, 2020",912090,2435170
11/23/20,"Monday, November 23, 2020",917354,2254188
11/22/20,"Sunday, November 22, 2020",1047934,2321546
11/21/20,"Saturday, November 21, 2020",984369,2194291
11/20/20,"Friday, November 20, 2020",1019836,2550459
11/19/20,"Thursday, November 19, 2020",907332,2428095
11/18/20,"Wednesday, November 18, 2020",703135,2071631
11/17/20,"Tuesday, November 17, 2020",611497,1900895
11/16/20,"Monday, November 16, 2020",883157,2298856
11/15/20,"Sunday, November 15, 2020",978297,2396681
11/14/20,"Saturday, November 14, 2020",697360,1807230
11/13/20,"Friday, November 13, 2020",881579,2437211
11/12/20,"Thursday, November 12, 2020",866679,2364920
11/11/20,"Wednesday, November 11, 2020",674633,2072207
11/10/20,"Tuesday, November 10, 2020",596475,2150003
11/9/20,"Monday, November 9, 2020",836600,2465392
11/8/20,"Sunday, November 8, 2020",973020,2356349
11/7/20,"Saturday, November 7, 2020",689951,1908805
11/6/20,"Friday, November 6, 2020",895091,2544350
11/5/20,"Thursday, November 5, 2020",867105,2507365
11/4/20,"Wednesday, November 4, 2020",636533,2147882
11/3/20,"Tuesday, November 3, 2020",575829,2005101
11/2/20,"Monday, November 2, 2020",846138,2403304
11/1/20,"Sunday, November 1, 2020",936092,2459525
10/31/20,"Saturday, October 31, 2020",618476,1836781
10/30/20,"Friday, October 30, 2020",892712,2319906
10/29/20,"Thursday, October 29, 2020",873636,2047910
10/28/20,"Wednesday, October 28, 2020",666957,2066516
10/27/20,"Tuesday, October 27, 2020",648517,1910506
10/26/20,"Monday, October 26, 2020",898735,2347017
10/25/20,"Sunday, October 25, 2020",983745,2478287
10/24/20,"Saturday, October 24, 2020",755287,1931971
10/23/20,"Friday, October 23, 2020",958437,2594337
10/22/20,"Thursday, October 22, 2020",934386,2541581
10/21/20,"Wednesday, October 21, 2020",694150,2245199
10/20/20,"Tuesday, October 20, 2020",662484,2126637
10/19/20,"Monday, October 19, 2020",921031,2514673
10/18/20,"Sunday, October 18, 2020",1031505,2606266
10/17/20,"Saturday, October 17, 2020",788743,2049855
10/16/20,"Friday, October 16, 2020",973046,2637667
10/15/20,"Thursday, October 15, 2020",950024,2581007
10/14/20,"Wednesday, October 14, 2020",717940,2317763
10/13/20,"Tuesday, October 13, 2020",680894,2313632
10/12/20,"Monday, October 12, 2020",958440,2616771
10/11/20,"Sunday, October 11, 2020",984234,2555333
10/10/20,"Saturday, October 10, 2020",769868,2074718
10/9/20,"Friday, October 9, 2020",968545,2688032
10/8/20,"Thursday, October 8, 2020",936915,2605291
10/7/20,"Wednesday, October 7, 2020",668519,2215233
